23	15	67	0.283529481
23	8	119	0.319612893
16	23	986	0.288026367
16	15	921	0.023349487
7	16	180	0.153076485
7	8	793	0.262330719
22	8	57	0.128757469
22	15	536	0.104208755
9	7	978	0.130474311
9	16	16	0.188810243
21	15	823	0.146768202
21	23	280	0.14029533
6	15	849	0.040716687
6	16	23	0.025403485
1	16	756	0.103619849
1	22	712	0.099511735
29	7	181	0.100346814
29	23	163	0.127846898
14	6	240	0.066462175
14	1	840	0.125873495
24	23	229	0.104422079
24	29	306	0.032852253
4	1	47	0.119199586
4	6	799	0.147448914
19	16	227	0.298442016
19	9	281	0.252122386
26	4	807	0.040166436
26	16	64	0.159867357
11	7	998	0.103619849
11	29	104	0.128757469
18	4	1020	0.253706141
18	19	786	0.056803919
3	21	376	0.126578674
3	6	686	0.201164317
12	1	265	0.073156317
12	26	370	0.087302078
27	22	268	0.116699772
27	7	842	0.067128479
17	9	312	0.077009251
17	22	477	0.132840618
2	22	269	0.098104144
2	14	73	0.193725802
13	16	755	0.07758503
13	2	986	0.195782518
28	6	535	0.074063248
28	1	498	0.136149734
20	13	1001	0.111332482
20	26	255	0.11650893
25	27	578	0.186706524
25	1	554	0.113460835
10	1	497	0.067541581
10	22	44	0.068685051
5	6	390	0.278361186
5	2	1028	0.200416234
0	20	254	0.179319789
0	22	917	0.115164181
15	4	694	0.106792617
15	28	246	0.042192891
8	17	109	0.206917312
8	2	513	0.04775911
